,high,low,open,volumefrom,volumeto,close
count,2556.0,2556.0,2556.0,2556.0,2556.0,2556.0
mean,796.9713423317684,739.3188189358373,770.002536111111,1172221.2579186228,485043081.5440298,770.6843082550861
std,1163.3363263489675,1084.0548175503593,1126.8083002050653,1123661.684432695,651853776.642245,1126.8679030172825
min,0.4912,0.4156,0.4356,20404.67,11590.73,0.4356
25%,87.5125,81.1925,84.9375,398373.2875,66967230.769999996,85.33
50%,242.66,229.8,237.68,717533.47,287425307.765,237.73000000000002
75%,857.9350000000001,765.46,812.7625,1645419.6425,640586691.9625001,813.9475
max,4865.94,4710.0,4810.97,10980332.09,9657968555.96,4810.97
