,30_1_Logistic Regression,30_1_Support Vector Machines,30_1_XGBoost Classifier,30_3_Logistic Regression,30_3_Support Vector Machines,30_3_XGBoost Classifier,30_7_Logistic Regression,30_7_Support Vector Machines,30_7_XGBoost Classifier,30_14_Logistic Regression,30_14_Support Vector Machines,30_14_XGBoost Classifier,60_1_Logistic Regression,60_1_Support Vector Machines,60_1_XGBoost Classifier,60_3_Logistic Regression,60_3_Support Vector Machines,60_3_XGBoost Classifier,60_7_Logistic Regression,60_7_Support Vector Machines,60_7_XGBoost Classifier,60_14_Logistic Regression,60_14_Support Vector Machines,60_14_XGBoost Classifier,100_1_Logistic Regression,100_1_Support Vector Machines,100_1_XGBoost Classifier,100_3_Logistic Regression,100_3_Support Vector Machines,100_3_XGBoost Classifier,100_7_Logistic Regression,100_7_Support Vector Machines,100_7_XGBoost Classifier,100_14_Logistic Regression,100_14_Support Vector Machines,100_14_XGBoost Classifier,200_1_Logistic Regression,200_1_Support Vector Machines,200_1_XGBoost Classifier,200_3_Logistic Regression,200_3_Support Vector Machines,200_3_XGBoost Classifier,200_7_Logistic Regression,200_7_Support Vector Machines,200_7_XGBoost Classifier,200_14_Logistic Regression,200_14_Support Vector Machines,200_14_XGBoost Classifier
accuracy,0.5172553796183516,0.5075111652456354,0.4997969955339017,0.6203816483962648,0.584652862362972,0.6106374340235485,0.5836385836385837,0.5702075702075702,0.584045584045584,0.5591836734693878,0.5563265306122449,0.5689795918367347,0.5133579942457871,0.5030826140567201,0.49856144677353065,0.5926839293053843,0.5651459103986848,0.6054254007398274,0.576780568135035,0.5471387402223137,0.5829559489501852,0.5421139554087531,0.5421139554087531,0.564822460776218,0.5127455077308818,0.5043877977434184,0.5039699122440451,0.5809284818067754,0.5299038059389377,0.5788373065662903,0.5513196480938416,0.533724340175953,0.5609551738583997,0.5247899159663866,0.5197478991596639,0.5512605042016807,0.5154819014391626,0.5128652420409944,0.4875708678587004,0.5510471204188482,0.5287958115183246,0.5527923211169284,0.5290519877675841,0.5203145478374837,0.5526430755788554,0.5319894829097284,0.5127081507449606,0.537248028045574
precision,0.5064575645756457,0.4953183520599251,0.48794679966749793,0.6129848229342327,0.5816696914700544,0.6026936026936027,0.5715453802125919,0.5640794223826715,0.5724876441515651,0.55,0.5477651183172656,0.5570032573289903,0.5,0.4880611270296084,0.4847972972972973,0.5847234416154522,0.5606936416184971,0.5960548885077187,0.5669291338582677,0.5389048991354467,0.5726643598615917,0.5294627383015598,0.532319391634981,0.5539000876424189,0.5,0.4918032786885246,0.4905149051490515,0.5727109515260324,0.520703933747412,0.5731593662628145,0.539612676056338,0.5241448692152918,0.5522664199814986,0.5121951219512195,0.5078125,0.5381391450125733,0.5048543689320388,0.5008680555555556,0.4745916515426497,0.5417057169634489,0.5205627705627706,0.5461767626613704,0.5175600739371534,0.50920245398773,0.5415162454873647,0.5203703703703704,0.5,0.5257826887661142
f1_score,0.480104940970704,0.4658740642888595,0.48794679966749793,0.6086228547509418,0.5561822125813449,0.5989125888749477,0.577447335811648,0.5420641803989593,0.5762852404643449,0.5415959252971138,0.5348737697903296,0.5643564356435643,0.46953405017921146,0.4580905423576872,0.4847972972972973,0.5733964700817908,0.523852385238524,0.5914893617021276,0.5576592082616179,0.504950495049505,0.566538296961917,0.5242385242385244,0.5024674742036789,0.545297670405522,0.437801350048216,0.5029337803855826,0.4777826660800704,0.5601404741000879,0.472300469483568,0.5498435404559677,0.5337396604266434,0.4835266821345708,0.5325602140945584,0.5097529258777633,0.4764086120018324,0.5459183673469388,0.42820380854348944,0.5081461911052401,0.4709590274651058,0.5290617848970252,0.4711067580803134,0.5176470588235295,0.5095541401273885,0.4756446991404011,0.539568345323741,0.5127737226277372,0.47596606974552313,0.5195632393084623
recall,0.456359102244389,0.4397339983374896,0.48794679966749793,0.6043225270157938,0.5328345802161264,0.5951787198669992,0.5834724540901502,0.5217028380634391,0.5801335559265443,0.5334448160535117,0.5225752508361204,0.5719063545150501,0.44256756756756754,0.43158783783783783,0.4847972972972973,0.5625,0.49155405405405406,0.5869932432432432,0.5486875529212532,0.47502116850127013,0.5605419136325148,0.5191163976210705,0.47578589634664403,0.5369583687340697,0.3893653516295026,0.5145797598627787,0.46569468267581476,0.5481099656357389,0.4321305841924399,0.5283505154639175,0.5279931093884582,0.4487510766580534,0.5142118863049095,0.5073339085418465,0.4486626402070751,0.5539257981018119,0.3717605004468275,0.515638963360143,0.4673815907059875,0.516994633273703,0.43023255813953487,0.4919499105545617,0.5017921146953405,0.44623655913978494,0.5376344086021505,0.5053956834532374,0.454136690647482,0.5134892086330936
