,model,accuracy,precision,f1_score,recall
0,Logistic Regression,0.6978533819360064,0.6939983093829247,0.6876046901172529,0.6813278008298755
1,Support Vector Machines,0.6200891049007695,0.6221408966148216,0.5918189730200174,0.5643153526970954
2,XGBoost Classifier,0.6614013770757392,0.6513535684987695,0.6551155115511551,0.6589211618257261
