,datetime,Average Tone
131,2017-12-25 00:00:00+00:00,1.0163
132,2017-12-26 00:00:00+00:00,-0.885
133,2017-12-27 00:00:00+00:00,0.4474
134,2017-12-28 00:00:00+00:00,0.7984
135,2017-12-29 00:00:00+00:00,-0.7785
136,2017-12-30 00:00:00+00:00,-3.202
137,2017-12-31 00:00:00+00:00,0.4602
138,2018-01-01 00:00:00+00:00,-3.0556
139,2018-01-02 00:00:00+00:00,-0.6292
140,2018-01-03 00:00:00+00:00,2.1044
141,2018-01-04 00:00:00+00:00,0.3626
142,2018-01-05 00:00:00+00:00,0.5655
143,2018-01-06 00:00:00+00:00,-0.3904
144,2018-01-07 00:00:00+00:00,2.0716
145,2018-01-08 00:00:00+00:00,0.1703
146,2018-01-09 00:00:00+00:00,0.1536
147,2018-01-10 00:00:00+00:00,-0.2476
148,2018-01-11 00:00:00+00:00,-0.5402
149,2018-01-12 00:00:00+00:00,-0.6238
150,2018-01-13 00:00:00+00:00,-1.2732
151,2018-01-14 00:00:00+00:00,1.2559
152,2018-01-15 00:00:00+00:00,0.443
153,2018-01-16 00:00:00+00:00,0.2309
154,2018-01-17 00:00:00+00:00,-0.8004
155,2018-01-18 00:00:00+00:00,0.5991
156,2018-01-19 00:00:00+00:00,1.7961
157,2018-01-20 00:00:00+00:00,1.4973
158,2018-01-21 00:00:00+00:00,0.2239
159,2018-01-22 00:00:00+00:00,0.4594
160,2018-01-23 00:00:00+00:00,0.7592
161,2018-01-24 00:00:00+00:00,0.2986
162,2018-01-25 00:00:00+00:00,0.6956
163,2018-01-26 00:00:00+00:00,-0.1311
164,2018-01-27 00:00:00+00:00,1.6751
165,2018-01-28 00:00:00+00:00,1.0295
166,2018-01-29 00:00:00+00:00,-0.2311
167,2018-01-30 00:00:00+00:00,0.2741
168,2018-01-31 00:00:00+00:00,0.051
169,2018-02-01 00:00:00+00:00,0.2885
170,2018-02-02 00:00:00+00:00,-1.3883
171,2018-02-03 00:00:00+00:00,-1.2898
172,2018-02-04 00:00:00+00:00,1.5458
173,2018-02-05 00:00:00+00:00,0.3181
174,2018-02-06 00:00:00+00:00,-0.0186
175,2018-02-07 00:00:00+00:00,0.6768
176,2018-02-08 00:00:00+00:00,0.8015
177,2018-02-09 00:00:00+00:00,0.8801
178,2018-02-10 00:00:00+00:00,1.9831
179,2018-02-11 00:00:00+00:00,0.3554
180,2018-02-12 00:00:00+00:00,-0.4047
181,2018-02-13 00:00:00+00:00,0.0358
182,2018-02-14 00:00:00+00:00,-0.2121
183,2018-02-15 00:00:00+00:00,0.0189
184,2018-02-16 00:00:00+00:00,0.7802
185,2018-02-17 00:00:00+00:00,-0.3432
186,2018-02-18 00:00:00+00:00,0.7722
187,2018-02-19 00:00:00+00:00,1.4062
188,2018-02-20 00:00:00+00:00,1.8293
189,2018-02-21 00:00:00+00:00,0.1936
190,2018-02-22 00:00:00+00:00,0.2738
191,2018-02-23 00:00:00+00:00,-2.1825
192,2018-02-24 00:00:00+00:00,-2.2803
193,2018-02-25 00:00:00+00:00,-0.3036
194,2018-02-26 00:00:00+00:00,-1.1631
195,2018-02-27 00:00:00+00:00,0.9324
196,2018-02-28 00:00:00+00:00,-0.2183
197,2018-03-01 00:00:00+00:00,-0.4808
198,2018-03-02 00:00:00+00:00,1.0271
199,2018-03-03 00:00:00+00:00,0.0
200,2018-03-04 00:00:00+00:00,0.2799
201,2018-03-05 00:00:00+00:00,-0.2732
202,2018-03-06 00:00:00+00:00,1.1887
203,2018-03-07 00:00:00+00:00,-0.5251
204,2018-03-08 00:00:00+00:00,1.0094
205,2018-03-09 00:00:00+00:00,-1.4468
206,2018-03-10 00:00:00+00:00,1.2396
207,2018-03-11 00:00:00+00:00,-0.6874
208,2018-03-12 00:00:00+00:00,0.9218
209,2018-03-13 00:00:00+00:00,0.0463
210,2018-03-14 00:00:00+00:00,-1.7647
211,2018-03-15 00:00:00+00:00,0.7641
212,2018-03-16 00:00:00+00:00,-0.3241
213,2018-03-17 00:00:00+00:00,1.3368
214,2018-03-18 00:00:00+00:00,-0.5341
215,2018-03-19 00:00:00+00:00,-1.2132
216,2018-03-20 00:00:00+00:00,-0.2341
217,2018-03-21 00:00:00+00:00,-0.7793
218,2018-03-22 00:00:00+00:00,-1.1453
219,2018-03-23 00:00:00+00:00,-0.4302
220,2018-03-24 00:00:00+00:00,0.3284
221,2018-03-25 00:00:00+00:00,-0.4517
222,2018-03-26 00:00:00+00:00,0.1617
223,2018-03-27 00:00:00+00:00,-1.0346
224,2018-03-28 00:00:00+00:00,-0.9355
225,2018-03-29 00:00:00+00:00,0.0733
226,2018-03-30 00:00:00+00:00,-1.0616
227,2018-03-31 00:00:00+00:00,4.6676
228,2018-04-01 00:00:00+00:00,-3.1896
229,2018-04-02 00:00:00+00:00,1.3182
230,2018-04-03 00:00:00+00:00,-0.1894
231,2018-04-04 00:00:00+00:00,-1.1144
232,2018-04-05 00:00:00+00:00,0.8236
233,2018-04-06 00:00:00+00:00,1.8237
234,2018-04-07 00:00:00+00:00,0.3997
235,2018-04-08 00:00:00+00:00,-0.2809
236,2018-04-09 00:00:00+00:00,1.091
237,2018-04-10 00:00:00+00:00,0.491
238,2018-04-11 00:00:00+00:00,0.0498
239,2018-04-12 00:00:00+00:00,0.7966
240,2018-04-13 00:00:00+00:00,1.1424
241,2018-04-14 00:00:00+00:00,0.7557
242,2018-04-15 00:00:00+00:00,1.1913
243,2018-04-16 00:00:00+00:00,0.7862
244,2018-04-17 00:00:00+00:00,-0.3224
245,2018-04-18 00:00:00+00:00,1.3854
246,2018-04-19 00:00:00+00:00,1.5917
247,2018-04-20 00:00:00+00:00,0.4373
248,2018-04-21 00:00:00+00:00,1.0968
249,2018-04-22 00:00:00+00:00,0.7517
250,2018-04-23 00:00:00+00:00,0.0619
251,2018-04-24 00:00:00+00:00,0.3603
252,2018-04-25 00:00:00+00:00,1.0713
253,2018-04-26 00:00:00+00:00,0.2906
254,2018-04-27 00:00:00+00:00,-0.181
255,2018-04-28 00:00:00+00:00,0.437
256,2018-04-29 00:00:00+00:00,-1.1565
257,2018-04-30 00:00:00+00:00,0.7679
258,2018-05-01 00:00:00+00:00,-0.0851
259,2018-05-02 00:00:00+00:00,0.4508
260,2018-05-03 00:00:00+00:00,-0.0175
261,2018-05-04 00:00:00+00:00,1.0285
262,2018-05-05 00:00:00+00:00,-0.0682
263,2018-05-06 00:00:00+00:00,-3.9031
264,2018-05-07 00:00:00+00:00,0.4078
265,2018-05-08 00:00:00+00:00,-0.3248
266,2018-05-09 00:00:00+00:00,0.9549
267,2018-05-10 00:00:00+00:00,-0.0293
268,2018-05-11 00:00:00+00:00,0.1684
269,2018-05-12 00:00:00+00:00,-0.3374
270,2018-05-13 00:00:00+00:00,2.5334
271,2018-05-14 00:00:00+00:00,-0.1678
272,2018-05-15 00:00:00+00:00,0.6673
273,2018-05-16 00:00:00+00:00,0.2399
274,2018-05-17 00:00:00+00:00,0.2323
275,2018-05-18 00:00:00+00:00,-0.4564
276,2018-05-19 00:00:00+00:00,0.3154
277,2018-05-20 00:00:00+00:00,0.4721
278,2018-05-21 00:00:00+00:00,1.0912
279,2018-05-22 00:00:00+00:00,0.0721
280,2018-05-23 00:00:00+00:00,-1.29
281,2018-05-24 00:00:00+00:00,-0.4309
282,2018-05-25 00:00:00+00:00,-0.4359
283,2018-05-26 00:00:00+00:00,-0.5758
284,2018-05-27 00:00:00+00:00,-0.3653
285,2018-05-28 00:00:00+00:00,0.0221
286,2018-05-29 00:00:00+00:00,-0.1764
287,2018-05-30 00:00:00+00:00,0.7076
288,2018-05-31 00:00:00+00:00,0.4795
289,2018-06-01 00:00:00+00:00,0.4066
290,2018-06-02 00:00:00+00:00,-0.7338
291,2018-06-03 00:00:00+00:00,0.6874
292,2018-06-04 00:00:00+00:00,0.2404
293,2018-06-05 00:00:00+00:00,-0.0235
294,2018-06-06 00:00:00+00:00,0.9496
295,2018-06-07 00:00:00+00:00,1.3145
296,2018-06-08 00:00:00+00:00,-0.1457
297,2018-06-09 00:00:00+00:00,1.7059
298,2018-06-10 00:00:00+00:00,-0.3985
299,2018-06-11 00:00:00+00:00,-1.5504
300,2018-06-12 00:00:00+00:00,-0.1887
301,2018-06-13 00:00:00+00:00,-0.195
302,2018-06-14 00:00:00+00:00,0.6479
303,2018-06-15 00:00:00+00:00,-0.1106
304,2018-06-16 00:00:00+00:00,0.0337
305,2018-06-17 00:00:00+00:00,-0.8515
306,2018-06-18 00:00:00+00:00,-0.4411
307,2018-06-19 00:00:00+00:00,1.5638
308,2018-06-20 00:00:00+00:00,-0.511
309,2018-06-21 00:00:00+00:00,0.0408
310,2018-06-22 00:00:00+00:00,-1.139
311,2018-06-23 00:00:00+00:00,-1.7463
312,2018-06-24 00:00:00+00:00,-0.888
313,2018-06-25 00:00:00+00:00,-1.2987
314,2018-06-26 00:00:00+00:00,-0.8186
315,2018-06-27 00:00:00+00:00,-0.221
316,2018-06-28 00:00:00+00:00,-0.7347
317,2018-06-29 00:00:00+00:00,-1.1118
318,2018-06-30 00:00:00+00:00,-0.6326
319,2018-07-01 00:00:00+00:00,-1.5
320,2018-07-02 00:00:00+00:00,0.3697
321,2018-07-03 00:00:00+00:00,0.0821
322,2018-07-04 00:00:00+00:00,0.5882
323,2018-07-05 00:00:00+00:00,1.4873
324,2018-07-06 00:00:00+00:00,0.2305
325,2018-07-07 00:00:00+00:00,-0.1623
326,2018-07-08 00:00:00+00:00,0.3311
327,2018-07-09 00:00:00+00:00,0.1383
328,2018-07-10 00:00:00+00:00,-0.7515
329,2018-07-11 00:00:00+00:00,-1.1214
330,2018-07-12 00:00:00+00:00,-0.4572
331,2018-07-13 00:00:00+00:00,0.3007
332,2018-07-14 00:00:00+00:00,-0.7546
333,2018-07-15 00:00:00+00:00,-0.322
334,2018-07-16 00:00:00+00:00,0.1733
335,2018-07-17 00:00:00+00:00,1.3061
336,2018-07-18 00:00:00+00:00,0.9243
337,2018-07-19 00:00:00+00:00,0.4995
338,2018-07-20 00:00:00+00:00,1.0461
339,2018-07-21 00:00:00+00:00,0.1825
340,2018-07-22 00:00:00+00:00,0.8574
341,2018-07-23 00:00:00+00:00,0.5924
342,2018-07-24 00:00:00+00:00,-0.2172
343,2018-07-25 00:00:00+00:00,0.5381
344,2018-07-26 00:00:00+00:00,-0.2272
345,2018-07-27 00:00:00+00:00,0.0548
346,2018-07-28 00:00:00+00:00,0.544
347,2018-07-29 00:00:00+00:00,0.0634
348,2018-07-30 00:00:00+00:00,0.8765
349,2018-07-31 00:00:00+00:00,0.4117
350,2018-08-01 00:00:00+00:00,0.9869
351,2018-08-02 00:00:00+00:00,-0.2421
352,2018-08-03 00:00:00+00:00,-0.2064
353,2018-08-04 00:00:00+00:00,-0.4542
354,2018-08-05 00:00:00+00:00,1.205
355,2018-08-06 00:00:00+00:00,0.966
356,2018-08-07 00:00:00+00:00,0.521
357,2018-08-08 00:00:00+00:00,0.6682
358,2018-08-09 00:00:00+00:00,-0.0122
359,2018-08-10 00:00:00+00:00,1.245
360,2018-08-11 00:00:00+00:00,0.2323
361,2018-08-12 00:00:00+00:00,0.4253
362,2018-08-13 00:00:00+00:00,-0.554
363,2018-08-14 00:00:00+00:00,0.1665
364,2018-08-15 00:00:00+00:00,-0.4839
365,2018-08-16 00:00:00+00:00,-0.1912
366,2018-08-17 00:00:00+00:00,0.1545
367,2018-08-18 00:00:00+00:00,0.3696
368,2018-08-19 00:00:00+00:00,0.1537
369,2018-08-20 00:00:00+00:00,-1.4697
370,2018-08-21 00:00:00+00:00,0.1053
371,2018-08-22 00:00:00+00:00,0.5108
372,2018-08-23 00:00:00+00:00,-0.2559
373,2018-08-24 00:00:00+00:00,0.1434
374,2018-08-25 00:00:00+00:00,0.1788
375,2018-08-26 00:00:00+00:00,0.0257
376,2018-08-27 00:00:00+00:00,0.1797
377,2018-08-28 00:00:00+00:00,0.5799
378,2018-08-29 00:00:00+00:00,0.1252
379,2018-08-30 00:00:00+00:00,-0.3932
380,2018-08-31 00:00:00+00:00,-0.36
381,2018-09-01 00:00:00+00:00,0.0383
382,2018-09-02 00:00:00+00:00,-0.5739
383,2018-09-03 00:00:00+00:00,-0.1524
384,2018-09-04 00:00:00+00:00,0.3836
385,2018-09-05 00:00:00+00:00,-0.4198
386,2018-09-06 00:00:00+00:00,-0.0143
387,2018-09-07 00:00:00+00:00,0.8692
388,2018-09-08 00:00:00+00:00,-0.102
389,2018-09-09 00:00:00+00:00,-0.4664
390,2018-09-10 00:00:00+00:00,-0.1071
391,2018-09-11 00:00:00+00:00,-0.4587
392,2018-09-12 00:00:00+00:00,-0.3847
393,2018-09-13 00:00:00+00:00,-0.0028
394,2018-09-14 00:00:00+00:00,0.5213
395,2018-09-15 00:00:00+00:00,0.3343
396,2018-09-16 00:00:00+00:00,0.3489
397,2018-09-17 00:00:00+00:00,-0.5121
398,2018-09-18 00:00:00+00:00,0.2281
399,2018-09-19 00:00:00+00:00,-0.0674
400,2018-09-20 00:00:00+00:00,-0.3688
401,2018-09-21 00:00:00+00:00,-0.2103
402,2018-09-22 00:00:00+00:00,-0.0363
403,2018-09-23 00:00:00+00:00,0.84
404,2018-09-24 00:00:00+00:00,0.3884
405,2018-09-25 00:00:00+00:00,0.4137
406,2018-09-26 00:00:00+00:00,0.5212
407,2018-09-27 00:00:00+00:00,0.355
408,2018-09-28 00:00:00+00:00,0.6069
409,2018-09-29 00:00:00+00:00,-0.5864
410,2018-09-30 00:00:00+00:00,0.0486
411,2018-10-01 00:00:00+00:00,0.2893
412,2018-10-02 00:00:00+00:00,0.6616
413,2018-10-03 00:00:00+00:00,0.9501
414,2018-10-04 00:00:00+00:00,0.2341
415,2018-10-05 00:00:00+00:00,1.1821
416,2018-10-06 00:00:00+00:00,0.3199
417,2018-10-07 00:00:00+00:00,-0.0542
418,2018-10-08 00:00:00+00:00,1.0697
419,2018-10-09 00:00:00+00:00,0.1959
420,2018-10-10 00:00:00+00:00,0.5368
421,2018-10-11 00:00:00+00:00,-1.301
422,2018-10-12 00:00:00+00:00,0.1459
423,2018-10-13 00:00:00+00:00,0.1705
424,2018-10-14 00:00:00+00:00,0.9209
425,2018-10-15 00:00:00+00:00,-0.0695
426,2018-10-16 00:00:00+00:00,0.6507
427,2018-10-17 00:00:00+00:00,0.0444
428,2018-10-18 00:00:00+00:00,-0.1728
429,2018-10-19 00:00:00+00:00,-0.2662
430,2018-10-20 00:00:00+00:00,0.0981
431,2018-10-21 00:00:00+00:00,0.1321
432,2018-10-22 00:00:00+00:00,0.0104
433,2018-10-23 00:00:00+00:00,0.2051
434,2018-10-24 00:00:00+00:00,0.3787
435,2018-10-25 00:00:00+00:00,0.6588
436,2018-10-26 00:00:00+00:00,0.2168
437,2018-10-27 00:00:00+00:00,0.137
438,2018-10-28 00:00:00+00:00,0.32
439,2018-10-29 00:00:00+00:00,-0.3678
440,2018-10-30 00:00:00+00:00,-0.0803
441,2018-10-31 00:00:00+00:00,1.5893
442,2018-11-01 00:00:00+00:00,0.3024
443,2018-11-02 00:00:00+00:00,1.948
444,2018-11-03 00:00:00+00:00,0.5039
445,2018-11-04 00:00:00+00:00,0.5933
446,2018-11-05 00:00:00+00:00,1.1674
447,2018-11-06 00:00:00+00:00,0.3221
448,2018-11-07 00:00:00+00:00,0.0281
449,2018-11-08 00:00:00+00:00,0.0943
450,2018-11-09 00:00:00+00:00,0.7553
451,2018-11-10 00:00:00+00:00,0.2379
452,2018-11-11 00:00:00+00:00,-1.0812
453,2018-11-12 00:00:00+00:00,0.13
454,2018-11-13 00:00:00+00:00,0.315
455,2018-11-14 00:00:00+00:00,-0.321
456,2018-11-15 00:00:00+00:00,-0.3132
457,2018-11-16 00:00:00+00:00,0.1338
458,2018-11-17 00:00:00+00:00,0.3261
459,2018-11-18 00:00:00+00:00,-0.2633
460,2018-11-19 00:00:00+00:00,0.8401
461,2018-11-20 00:00:00+00:00,-1.6496
462,2018-11-21 00:00:00+00:00,-0.802
463,2018-11-22 00:00:00+00:00,0.4164
464,2018-11-23 00:00:00+00:00,0.7599
465,2018-11-24 00:00:00+00:00,-0.7065
466,2018-11-25 00:00:00+00:00,-0.7727
467,2018-11-26 00:00:00+00:00,0.183
468,2018-11-27 00:00:00+00:00,0.3108
469,2018-11-28 00:00:00+00:00,0.7052
470,2018-11-29 00:00:00+00:00,-0.3079
471,2018-11-30 00:00:00+00:00,0.0374
472,2018-12-01 00:00:00+00:00,0.2593
473,2018-12-02 00:00:00+00:00,0.2603
474,2018-12-03 00:00:00+00:00,-0.0965
475,2018-12-04 00:00:00+00:00,-0.1173
476,2018-12-05 00:00:00+00:00,0.956
477,2018-12-06 00:00:00+00:00,0.4579
478,2018-12-07 00:00:00+00:00,-0.7087
479,2018-12-08 00:00:00+00:00,0.4766
480,2018-12-09 00:00:00+00:00,0.4437
481,2018-12-10 00:00:00+00:00,0.8023
482,2018-12-11 00:00:00+00:00,-0.0338
483,2018-12-12 00:00:00+00:00,0.5016
484,2018-12-13 00:00:00+00:00,0.343
485,2018-12-14 00:00:00+00:00,0.7844
486,2018-12-15 00:00:00+00:00,-1.3826
487,2018-12-16 00:00:00+00:00,-0.3232
488,2018-12-17 00:00:00+00:00,-0.42
489,2018-12-18 00:00:00+00:00,0.1993
490,2018-12-19 00:00:00+00:00,-0.2536
491,2018-12-20 00:00:00+00:00,0.6918
492,2018-12-21 00:00:00+00:00,1.1536
493,2018-12-22 00:00:00+00:00,0.1199
494,2018-12-23 00:00:00+00:00,-0.2645
495,2018-12-24 00:00:00+00:00,-0.0618
496,2018-12-25 00:00:00+00:00,-0.085
497,2018-12-26 00:00:00+00:00,-0.8856
498,2018-12-27 00:00:00+00:00,-1.0435
499,2018-12-28 00:00:00+00:00,0.4937
500,2018-12-29 00:00:00+00:00,0.3745
501,2018-12-30 00:00:00+00:00,-0.079
502,2018-12-31 00:00:00+00:00,-0.1104
503,2019-01-01 00:00:00+00:00,0.4116
504,2019-01-02 00:00:00+00:00,0.2197
505,2019-01-03 00:00:00+00:00,0.5139
506,2019-01-04 00:00:00+00:00,0.1336
507,2019-01-05 00:00:00+00:00,1.8123
508,2019-01-06 00:00:00+00:00,1.159
509,2019-01-07 00:00:00+00:00,0.1328
510,2019-01-08 00:00:00+00:00,-0.9436
511,2019-01-09 00:00:00+00:00,-0.1407
512,2019-01-10 00:00:00+00:00,-0.5083
513,2019-01-11 00:00:00+00:00,0.2753
514,2019-01-12 00:00:00+00:00,0.1315
515,2019-01-13 00:00:00+00:00,0.6243
516,2019-01-14 00:00:00+00:00,-0.1098
517,2019-01-15 00:00:00+00:00,0.3993
518,2019-01-16 00:00:00+00:00,-0.7531
519,2019-01-17 00:00:00+00:00,-0.3096
520,2019-01-18 00:00:00+00:00,0.1538
521,2019-01-19 00:00:00+00:00,-0.3241
522,2019-01-20 00:00:00+00:00,0.5513
523,2019-01-21 00:00:00+00:00,0.5774
524,2019-01-22 00:00:00+00:00,-0.0457
525,2019-01-23 00:00:00+00:00,0.1293
526,2019-01-24 00:00:00+00:00,0.3701
527,2019-01-25 00:00:00+00:00,-0.2948
528,2019-01-26 00:00:00+00:00,0.6247
529,2019-01-27 00:00:00+00:00,-0.7443
530,2019-01-28 00:00:00+00:00,0.1936
531,2019-01-29 00:00:00+00:00,-0.4819
532,2019-01-30 00:00:00+00:00,-0.2829
533,2019-01-31 00:00:00+00:00,1.6496
534,2019-02-01 00:00:00+00:00,-0.3302
535,2019-02-02 00:00:00+00:00,-0.2869
536,2019-02-03 00:00:00+00:00,-0.0507
537,2019-02-04 00:00:00+00:00,0.0921
538,2019-02-05 00:00:00+00:00,0.3948
539,2019-02-06 00:00:00+00:00,0.4208
540,2019-02-07 00:00:00+00:00,0.2042
541,2019-02-08 00:00:00+00:00,0.3856
542,2019-02-09 00:00:00+00:00,0.5471
543,2019-02-10 00:00:00+00:00,0.2014
544,2019-02-11 00:00:00+00:00,0.3829
545,2019-02-12 00:00:00+00:00,0.2032
546,2019-02-13 00:00:00+00:00,0.0472
547,2019-02-14 00:00:00+00:00,1.357
548,2019-02-15 00:00:00+00:00,0.2511
549,2019-02-16 00:00:00+00:00,0.288
550,2019-02-17 00:00:00+00:00,-0.8954
551,2019-02-18 00:00:00+00:00,0.6833
552,2019-02-19 00:00:00+00:00,0.1801
553,2019-02-20 00:00:00+00:00,0.7064
554,2019-02-21 00:00:00+00:00,0.593
555,2019-02-22 00:00:00+00:00,0.1737
556,2019-02-23 00:00:00+00:00,0.2923
557,2019-02-24 00:00:00+00:00,0.245
558,2019-02-25 00:00:00+00:00,-0.0604
559,2019-02-26 00:00:00+00:00,-0.034
560,2019-02-27 00:00:00+00:00,0.4873
561,2019-02-28 00:00:00+00:00,0.4108
562,2019-03-01 00:00:00+00:00,0.9743
563,2019-03-02 00:00:00+00:00,0.1452
564,2019-03-03 00:00:00+00:00,0.0046
565,2019-03-04 00:00:00+00:00,0.3042
566,2019-03-05 00:00:00+00:00,1.3251
567,2019-03-06 00:00:00+00:00,1.2714
568,2019-03-07 00:00:00+00:00,0.6511
569,2019-03-08 00:00:00+00:00,0.4811
570,2019-03-09 00:00:00+00:00,0.409
571,2019-03-10 00:00:00+00:00,0.6234
572,2019-03-11 00:00:00+00:00,0.7906
573,2019-03-12 00:00:00+00:00,2.0471
574,2019-03-13 00:00:00+00:00,0.3172
575,2019-03-14 00:00:00+00:00,1.1851
