,60_1_Logistic Regression,60_1_Support Vector Machines,60_1_XGBoost Classifier,60_3_Logistic Regression,60_3_Support Vector Machines,60_3_XGBoost Classifier,60_7_Logistic Regression,60_7_Support Vector Machines,60_7_XGBoost Classifier,100_1_Logistic Regression,100_1_Support Vector Machines,100_1_XGBoost Classifier,100_3_Logistic Regression,100_3_Support Vector Machines,100_3_XGBoost Classifier,100_7_Logistic Regression,100_7_Support Vector Machines,100_7_XGBoost Classifier,200_1_Logistic Regression,200_1_Support Vector Machines,200_1_XGBoost Classifier,200_3_Logistic Regression,200_3_Support Vector Machines,200_3_XGBoost Classifier,200_7_Logistic Regression,200_7_Support Vector Machines,200_7_XGBoost Classifier
accuracy,0.5114848236259228,0.5266611977030353,0.5151763740771124,0.6231527093596059,0.5821018062397373,0.5779967159277504,0.59688013136289,0.5706075533661741,0.5890804597701149,0.51209341117598,0.53628023352794,0.518348623853211,0.5861493533583646,0.5677930746766792,0.5615352523988318,0.5743525480367586,0.564327485380117,0.5735171261487051,0.4995648389904265,0.515230635335074,0.5056570931244561,0.5300261096605744,0.560922541340296,0.5600522193211488,0.5657665505226481,0.5505226480836237,0.5775261324041812
precision,0.49295774647887325,0.525,0.5042194092827004,0.61400512382579,0.5755656108597285,0.5674978503869303,0.5875754961173425,0.5642923219241444,0.5802792321116929,0.4979919678714859,0.5422960725075529,0.5154394299287411,0.5772285966460724,0.5620853080568721,0.551693404634581,0.5665158371040724,0.5584045584045584,0.5654923215898826,0.48089591567852435,0.5048275862068966,0.4842105263157895,0.5179666958808063,0.5563380281690141,0.5502742230347349,0.5533391153512576,0.5428015564202334,0.5693160813308688
f1_score,0.22712524334847503,0.3680175246440307,0.2879518072289156,0.6103565365025467,0.5554585152838427,0.5621805792163543,0.5810580204778156,0.5383936451897617,0.5705705705705705,0.297719087635054,0.39234972677595625,0.27312775330396477,0.568695652173913,0.5337533753375339,0.5408475316732196,0.5512989872302951,0.529968454258675,0.5508139023317202,0.38829787234042556,0.3965330444203684,0.2882205513784461,0.5225464190981433,0.5229314420803782,0.5435665914221219,0.5613726352837659,0.5195530726256983,0.5594913714804723
recall,0.1475548060708263,0.28330522765598654,0.2015177065767285,0.6067510548523207,0.5367088607594936,0.5569620253164557,0.5746835443037974,0.5147679324894515,0.5611814345991561,0.21232876712328766,0.3073630136986301,0.1857876712328767,0.5604113110539846,0.508140531276778,0.5304198800342759,0.5368782161234992,0.5042881646655232,0.5368782161234992,0.3256021409455843,0.3264942016057092,0.20517395182872436,0.5272078501338091,0.4933095450490633,0.5370205173951829,0.5696428571428571,0.4982142857142857,0.55
