,30_1_Logistic Regression,30_1_Support Vector Machines,30_1_XGBoost Classifier,30_3_Logistic Regression,30_3_Support Vector Machines,30_3_XGBoost Classifier,30_7_Logistic Regression,30_7_Support Vector Machines,30_7_XGBoost Classifier,30_14_Logistic Regression,30_14_Support Vector Machines,30_14_XGBoost Classifier,60_1_Logistic Regression,60_1_Support Vector Machines,60_1_XGBoost Classifier,60_3_Logistic Regression,60_3_Support Vector Machines,60_3_XGBoost Classifier,60_7_Logistic Regression,60_7_Support Vector Machines,60_7_XGBoost Classifier,60_14_Logistic Regression,60_14_Support Vector Machines,60_14_XGBoost Classifier,100_1_Logistic Regression,100_1_Support Vector Machines,100_1_XGBoost Classifier,100_3_Logistic Regression,100_3_Support Vector Machines,100_3_XGBoost Classifier,100_7_Logistic Regression,100_7_Support Vector Machines,100_7_XGBoost Classifier,100_14_Logistic Regression,100_14_Support Vector Machines,100_14_XGBoost Classifier,200_1_Logistic Regression,200_1_Support Vector Machines,200_1_XGBoost Classifier,200_3_Logistic Regression,200_3_Support Vector Machines,200_3_XGBoost Classifier,200_7_Logistic Regression,200_7_Support Vector Machines,200_7_XGBoost Classifier,200_14_Logistic Regression,200_14_Support Vector Machines,200_14_XGBoost Classifier
accuracy,0.5071051563134389,0.513601299228583,0.5115712545676004,0.6467722289890377,0.5740966301258628,0.6260657734470159,0.5897435897435898,0.5677655677655677,0.584045584045584,0.5587755102040817,0.5477551020408163,0.5575510204081633,0.5113029182079737,0.5100698725852857,0.5034936292642828,0.6309083436087135,0.5577476366625566,0.6091245376078915,0.5825442568958419,0.5380815150267599,0.5829559489501852,0.5586292320396367,0.5495458298926507,0.5697770437654831,0.5068951107396573,0.5119097367321354,0.49603008775595486,0.6327896277708072,0.5449602676704308,0.6181514010874112,0.566401340594889,0.5387515710096356,0.5735232509426058,0.5478991596638656,0.5302521008403361,0.5495798319327732,0.5076319232446577,0.5159180113388574,0.5076319232446577,0.6169284467713787,0.5322862129144852,0.6352530541012217,0.5906509392747925,0.5246832678025338,0.5897771952817824,0.5574057843996494,0.5324276950043821,0.5543382997370727
precision,0.47717842323651455,0.5033467202141901,0.5,0.6393305439330544,0.5692446043165468,0.6150081566068516,0.58147512864494,0.5630797773654916,0.5741989881956155,0.5503943908851884,0.5401459854014599,0.5478632478632479,0.4880382775119617,0.4939759036144578,0.47058823529411764,0.6276785714285714,0.5561330561330561,0.596042868920033,0.5731814198071867,0.5300713557594292,0.5697674418604651,0.5486486486486486,0.542156862745098,0.5571549534292972,0.46568627450980393,0.49829931972789115,0.4532710280373832,0.6285971223021583,0.5467980295566502,0.6069906223358909,0.5581180811808119,0.5345622119815668,0.5608510638297872,0.5397890699904123,0.5217391304347826,0.5373390557939914,0.4358974358974359,0.510158013544018,0.4826388888888889,0.6138519924098672,0.5354938271604939,0.6300738007380073,0.5859750240153698,0.5183727034120735,0.5771578029642546,0.5476635514018692,0.5273390036452005,0.5415573053368329
f1_score,0.1592797783933518,0.38564102564102565,0.26151012891344383,0.6371976647206006,0.5468682505399568,0.6208316179497736,0.5736040609137056,0.5333919156414763,0.5713087248322147,0.537441163885323,0.5165794066317626,0.5418427726120035,0.14644651830581476,0.354978354978355,0.2412060301507538,0.6102430555555555,0.49860205032618815,0.6032540675844806,0.5633074935400517,0.481036077705828,0.5752620545073376,0.5325754263226934,0.5034137460172963,0.5581000848176421,0.1386861313868613,0.3340935005701255,0.24341279799247179,0.6142355008787346,0.44939271255060725,0.6093281985451433,0.5389755011135858,0.45736816165598815,0.5642123287671232,0.5113533151680291,0.4681255946717412,0.5387263339070568,0.05680868838763575,0.2893725992317541,0.19758351101634686,0.5957642725598526,0.39297848244620615,0.6203451407811079,0.5656003708854891,0.4206602768903088,0.5850640742377375,0.537121906507791,0.44857881136950906,0.5490022172949003
recall,0.09559434746467166,0.31255195344970904,0.1770573566084788,0.6350789692435578,0.5261845386533666,0.6267664172901081,0.5659432387312187,0.506677796327212,0.5684474123539232,0.5250836120401338,0.49498327759197325,0.5359531772575251,0.08614864864864864,0.27702702702702703,0.16216216216216217,0.59375,0.4518581081081081,0.6106418918918919,0.5537679932260796,0.4403048264182896,0.5808636748518204,0.5174171622769753,0.46983857264231094,0.5590484282073067,0.08147512864493997,0.25128644939965694,0.16638078902229847,0.6005154639175257,0.38144329896907214,0.6116838487972509,0.5211024978466839,0.3996554694229113,0.5676141257536607,0.4857635893011217,0.4245038826574633,0.540120793787748,0.03038427167113494,0.20196604110813227,0.12421805183199285,0.5787119856887298,0.3103756708407871,0.610912343470483,0.546594982078853,0.3539426523297491,0.5931899641577061,0.5269784172661871,0.3902877697841727,0.5566546762589928
