,30_1_Logistic Regression,30_1_Support Vector Machines,30_1_XGBoost Classifier,30_3_Logistic Regression,30_3_Support Vector Machines,30_3_XGBoost Classifier,30_7_Logistic Regression,30_7_Support Vector Machines,30_7_XGBoost Classifier,30_14_Logistic Regression,30_14_Support Vector Machines,30_14_XGBoost Classifier,60_1_Logistic Regression,60_1_Support Vector Machines,60_1_XGBoost Classifier,60_3_Logistic Regression,60_3_Support Vector Machines,60_3_XGBoost Classifier,60_7_Logistic Regression,60_7_Support Vector Machines,60_7_XGBoost Classifier,60_14_Logistic Regression,60_14_Support Vector Machines,60_14_XGBoost Classifier,100_1_Logistic Regression,100_1_Support Vector Machines,100_1_XGBoost Classifier,100_3_Logistic Regression,100_3_Support Vector Machines,100_3_XGBoost Classifier,100_7_Logistic Regression,100_7_Support Vector Machines,100_7_XGBoost Classifier,100_14_Logistic Regression,100_14_Support Vector Machines,100_14_XGBoost Classifier,200_1_Logistic Regression,200_1_Support Vector Machines,200_1_XGBoost Classifier,200_3_Logistic Regression,200_3_Support Vector Machines,200_3_XGBoost Classifier,200_7_Logistic Regression,200_7_Support Vector Machines,200_7_XGBoost Classifier,200_14_Logistic Regression,200_14_Support Vector Machines,200_14_XGBoost Classifier
accuracy,0.5188794153471377,0.5241575314656922,0.5062931384490459,0.5042630937880633,0.4985789687373122,0.4920828258221681,0.49694749694749696,0.4945054945054945,0.49247049247049246,0.49918367346938775,0.48775510204081635,0.5,0.5133579942457871,0.5088368269625976,0.5088368269625976,0.5121249486230991,0.5059597205096589,0.5195232223592273,0.5018526142445451,0.5150267599835323,0.507616303005352,0.5107349298100743,0.5123864574731627,0.5156895127993394,0.5244463017133305,0.5190137902214793,0.5282072712076891,0.5194479297365119,0.5148473442074446,0.5077373483897951,0.5182237117720989,0.5094260578131546,0.5090071219103477,0.5134453781512605,0.511344537815126,0.5050420168067227,0.5285651984300044,0.515045791539468,0.5154819014391626,0.5069808027923212,0.5078534031413613,0.5026178010471204,0.5203145478374837,0.5255570117955439,0.5102664919178681,0.5276073619631901,0.5144609991235758,0.5061349693251533
precision,0.509453781512605,0.5164369034994698,0.4933196300102775,0.4921052631578947,0.4856373429084381,0.4787985865724382,0.48300536672629696,0.48018018018018016,0.4782222222222222,0.48614834673815904,0.4734473447344735,0.4870188003581021,0.5,0.49398907103825135,0.4943934760448522,0.49866666666666665,0.49165120593692024,0.5065047701647876,0.4870651204281891,0.5013748854262144,0.49352890422778256,0.4962686567164179,0.49815157116451014,0.5017241379310344,0.5190735694822888,0.5080042689434365,0.5187817258883248,0.5070688030160226,0.50187617260788,0.49465899753492193,0.5053449951409135,0.4950980392156863,0.495076096687556,0.5004926108374385,0.4980430528375734,0.4914798206278027,0.5332167832167832,0.5036803364879074,0.5036697247706422,0.49427480916030536,0.4952741020793951,0.4913522012578616,0.5089108910891089,0.5149105367793241,0.4978204010462075,0.5178571428571429,0.5020408163265306,0.49295774647887325
f1_score,0.45011600928074247,0.4538676607642125,0.4411764705882353,0.4788732394366197,0.4669831678895123,0.46423982869379016,0.466321243523316,0.4618717504332756,0.46319414550150667,0.46997840172786176,0.45600346770697875,0.4703847816688283,0.42300194931773877,0.43068127679847545,0.44803695150115475,0.4859246427024686,0.4686118479221928,0.4997860504920839,0.474370112945265,0.4815140845070422,0.4888888888888889,0.47309915518008,0.4772023019034971,0.4980744544287548,0.4010526315789473,0.45268663813599624,0.47512784751278475,0.48359550561797754,0.47982062780269064,0.505669886602268,0.4748858447488584,0.4630903255387437,0.485513608428446,0.4673413063477462,0.46675836772122875,0.48197009674582236,0.3607332939089296,0.4628019323671497,0.49705749207786326,0.47830101569713757,0.48161764705882354,0.5230125523012552,0.4835371589840076,0.4882186616399623,0.5046398585947857,0.47771317829457366,0.4703632887189293,0.4823151125401929
recall,0.4031587697423109,0.40482128013300084,0.39900249376558605,0.46633416458852867,0.44970906068162925,0.45054031587697424,0.4507512520868113,0.44490818030050083,0.44908180300500833,0.45484949832775917,0.4397993311036789,0.45484949832775917,0.36655405405405406,0.38175675675675674,0.4096283783783784,0.47381756756756754,0.44763513513513514,0.49324324324324326,0.4623200677392041,0.46316680779000846,0.48433530906011857,0.4519966015293118,0.45794392523364486,0.49447748513169076,0.32675814751286447,0.40823327615780447,0.43825042881646653,0.46219931271477666,0.45962199312714774,0.5171821305841925,0.4478897502153316,0.43496985357450474,0.4763135228251507,0.4383088869715272,0.43917169974115616,0.4728213977566868,0.2725647899910634,0.4280607685433423,0.4906166219839142,0.46332737030411447,0.46869409660107336,0.5590339892665475,0.460573476702509,0.46415770609318996,0.5116487455197133,0.4433453237410072,0.44244604316546765,0.4721223021582734
