,30_1_Logistic Regression,30_1_Support Vector Machines,30_1_XGBoost Classifier,30_3_Logistic Regression,30_3_Support Vector Machines,30_3_XGBoost Classifier,30_7_Logistic Regression,30_7_Support Vector Machines,30_7_XGBoost Classifier,30_14_Logistic Regression,30_14_Support Vector Machines,30_14_XGBoost Classifier,60_1_Logistic Regression,60_1_Support Vector Machines,60_1_XGBoost Classifier,60_3_Logistic Regression,60_3_Support Vector Machines,60_3_XGBoost Classifier,60_7_Logistic Regression,60_7_Support Vector Machines,60_7_XGBoost Classifier,60_14_Logistic Regression,60_14_Support Vector Machines,60_14_XGBoost Classifier,100_1_Logistic Regression,100_1_Support Vector Machines,100_1_XGBoost Classifier,100_3_Logistic Regression,100_3_Support Vector Machines,100_3_XGBoost Classifier,100_7_Logistic Regression,100_7_Support Vector Machines,100_7_XGBoost Classifier,100_14_Logistic Regression,100_14_Support Vector Machines,100_14_XGBoost Classifier,200_1_Logistic Regression,200_1_Support Vector Machines,200_1_XGBoost Classifier,200_3_Logistic Regression,200_3_Support Vector Machines,200_3_XGBoost Classifier,200_7_Logistic Regression,200_7_Support Vector Machines,200_7_XGBoost Classifier,200_14_Logistic Regression,200_14_Support Vector Machines,200_14_XGBoost Classifier
accuracy,0.5075111652456354,0.511977263499797,0.5180673974827447,0.6431181485992692,0.5765326837190419,0.6394640682095006,0.5942205942205943,0.5657305657305657,0.5852665852665853,0.5677551020408164,0.5514285714285714,0.5559183673469388,0.5104808877928483,0.5154130702836005,0.5088368269625976,0.6313193588162762,0.5577476366625566,0.613645704891081,0.5730753396459448,0.53684643886373,0.5800741045697818,0.5639966969446738,0.5466556564822461,0.5549132947976878,0.5039699122440451,0.5127455077308818,0.5073129962390305,0.6189878711836052,0.5361773316603932,0.6344625679631953,0.5643066610808546,0.5400083787180562,0.5718475073313783,0.5403361344537815,0.5264705882352941,0.5483193277310925,0.5045791539467946,0.5141735717400785,0.5159180113388574,0.6130017452006981,0.5344677137870855,0.6330715532286213,0.5775447793796418,0.5233726518130188,0.5928352992573176,0.5574057843996494,0.5267309377738826,0.5455740578439965
precision,0.4798387096774194,0.5007032348804501,0.5192307692307693,0.6352253756260434,0.5714285714285714,0.6292042657916325,0.584524810765349,0.5599268069533394,0.5746455379482902,0.5600350569675723,0.5437330928764653,0.5459183673469388,0.48736462093862815,0.5039872408293461,0.4854111405835544,0.6257668711656442,0.554989816700611,0.599836333878887,0.5629370629370629,0.5279441117764471,0.5665839536807279,0.5536823425022183,0.5377268385864374,0.5403422982885085,0.4620938628158845,0.5,0.4812680115273775,0.6124444444444445,0.5334957369062119,0.6198347107438017,0.5542600896860986,0.5365853658536586,0.5564581640942323,0.5295723384895359,0.5171306209850107,0.535234899328859,0.4577114427860697,0.5075528700906344,0.5266272189349113,0.6096866096866097,0.5415986949429038,0.6264840182648402,0.5693023255813954,0.5170532060027285,0.5784982935153583,0.546875,0.5205128205128206,0.5316990701606086
f1_score,0.1640248104755341,0.3719958202716824,0.26683137739345275,0.63390254060808,0.5510116229014206,0.6333608587943848,0.5823209049015501,0.5342645133129638,0.5748852732582393,0.5468549422336328,0.5232104121475054,0.5413153456998313,0.18480492813141686,0.34897846493649914,0.23446508648302372,0.6141935483870967,0.5032317636195752,0.6093100581878638,0.5539784946236559,0.48465414567109477,0.5732217573221758,0.5416666666666666,0.506294964028777,0.5515806988352745,0.1774081774081774,0.31492361927144535,0.22075346992729675,0.602009611183923,0.44130982367758187,0.6318449873631004,0.5430579964850616,0.456973293768546,0.572742474916388,0.5155004428697962,0.4615384615384615,0.5427477669076989,0.1393939393939394,0.23172413793103444,0.13819875776397517,0.5914325195762321,0.3835932986712883,0.6199728874830547,0.5586490187129164,0.40995132504056253,0.5926573426573426,0.5409090909090908,0.42917547568710357,0.548148148148148
recall,0.09891936824605153,0.2959268495428096,0.17955112219451372,0.6325852036575229,0.5320033250207814,0.6375727348295926,0.5801335559265443,0.5108514190317195,0.5751252086811353,0.5342809364548495,0.504180602006689,0.5367892976588629,0.11402027027027027,0.2668918918918919,0.1545608108108108,0.6030405405405406,0.46030405405405406,0.6190878378378378,0.5453005927180355,0.4479254868755292,0.5800169348010161,0.530161427357689,0.47833474936278675,0.5632965165675446,0.1097770154373928,0.22984562607204118,0.1432246998284734,0.5919243986254296,0.37628865979381443,0.6443298969072165,0.5322997416020672,0.3979328165374677,0.5900086132644272,0.5021570319240725,0.4167385677308024,0.5504745470232959,0.08221626452189455,0.15013404825737264,0.07953529937444147,0.5742397137745975,0.29695885509839,0.6135957066189625,0.5483870967741935,0.3396057347670251,0.6075268817204301,0.5350719424460432,0.36510791366906475,0.5656474820143885
