,30_1_Logistic Regression,30_1_Support Vector Machines,30_1_XGBoost Classifier,30_3_Logistic Regression,30_3_Support Vector Machines,30_3_XGBoost Classifier,30_7_Logistic Regression,30_7_Support Vector Machines,30_7_XGBoost Classifier,30_14_Logistic Regression,30_14_Support Vector Machines,30_14_XGBoost Classifier,60_1_Logistic Regression,60_1_Support Vector Machines,60_1_XGBoost Classifier,60_3_Logistic Regression,60_3_Support Vector Machines,60_3_XGBoost Classifier,60_7_Logistic Regression,60_7_Support Vector Machines,60_7_XGBoost Classifier,60_14_Logistic Regression,60_14_Support Vector Machines,60_14_XGBoost Classifier,100_1_Logistic Regression,100_1_Support Vector Machines,100_1_XGBoost Classifier,100_3_Logistic Regression,100_3_Support Vector Machines,100_3_XGBoost Classifier,100_7_Logistic Regression,100_7_Support Vector Machines,100_7_XGBoost Classifier,100_14_Logistic Regression,100_14_Support Vector Machines,100_14_XGBoost Classifier,200_1_Logistic Regression,200_1_Support Vector Machines,200_1_XGBoost Classifier,200_3_Logistic Regression,200_3_Support Vector Machines,200_3_XGBoost Classifier,200_7_Logistic Regression,200_7_Support Vector Machines,200_7_XGBoost Classifier,200_14_Logistic Regression,200_14_Support Vector Machines,200_14_XGBoost Classifier
accuracy,0.5164433617539586,0.5205034510759237,0.5083231831100284,0.6585464880227365,0.6106374340235485,0.6321559074299634,0.5917785917785918,0.571021571021571,0.5864875864875865,0.5522448979591836,0.5502040816326531,0.5502040816326531,0.5125359638306617,0.5154130702836005,0.5154130702836005,0.6391286477599671,0.6013152486642006,0.6362515413070283,0.5813091807328119,0.5603128859613009,0.590778097982709,0.5524360033030553,0.5495458298926507,0.564822460776218,0.5073129962390305,0.5215211032177184,0.5177601337233598,0.6068590547887913,0.5796737766624843,0.6240066917607695,0.5592794302471722,0.5546711353162966,0.5781315458734814,0.5386554621848739,0.5399159663865546,0.5563025210084034,0.5067597034452682,0.5163541212385521,0.5128652420409944,0.6082024432809773,0.56239092495637,0.6099476439790575,0.5591961555264308,0.5530799475753604,0.581476627348187,0.5354951796669588,0.5376862401402279,0.5539000876424189
precision,0.5227272727272727,0.5244444444444445,0.4859154929577465,0.6518456375838926,0.6060869565217392,0.6236469608659451,0.5824175824175825,0.5634920634920635,0.5763422818791947,0.5435356200527705,0.5417406749555951,0.5383360522022839,0.49603174603174605,0.5061728395061729,0.5113122171945701,0.6342105263157894,0.6005639097744361,0.6255247691015953,0.5720562390158173,0.5533522190745986,0.5803955288048152,0.5413333333333333,0.5400372439478585,0.5525192143467123,0.48148148148148145,0.5278514588859416,0.5379746835443038,0.5998217468805704,0.5853920515574651,0.6179875333926982,0.549054905490549,0.5522388059701493,0.5674255691768827,0.5278538812785388,0.5324543610547667,0.5436071126164268,0.4690721649484536,0.5135869565217391,0.5113636363636364,0.6020408163265306,0.5741935483870968,0.6081081081081081,0.5502347417840375,0.5567765567765568,0.5699115044247788,0.5248091603053435,0.5319148936170213,0.5415929203539823
f1_score,0.18813905930470348,0.2855414398064126,0.1856086079354405,0.6488517745302713,0.5924351891202719,0.6231281198003328,0.5787484250314995,0.5480274442538593,0.5748953974895398,0.5297899699957136,0.5254091300602929,0.5450041288191577,0.17409470752089137,0.2580239144115796,0.1608540925266904,0.6222030981067126,0.5685053380782917,0.6273684210526317,0.5614489003880985,0.5232142857142857,0.575938566552901,0.5291051259774109,0.5153265215459796,0.551107325383305,0.2228081740276862,0.2579390797148412,0.12839879154078548,0.588801399825022,0.5202863961813843,0.6069086139046787,0.5369718309859155,0.4935683658885183,0.5627442466348241,0.5128660159716061,0.48951048951048953,0.5487179487179487,0.1386138613861386,0.2542030934767989,0.07456503728251863,0.5910746812386157,0.4701531959852087,0.584958217270195,0.5373681797340669,0.47131782945736433,0.5734639358860195,0.5092592592592592,0.47381546134663344,0.5459411239964318
recall,0.11471321695760599,0.19617622610141314,0.11471321695760599,0.6458852867830424,0.5793848711554447,0.6226101413133832,0.5751252086811353,0.5333889816360601,0.5734557595993323,0.5167224080267558,0.5100334448160535,0.5518394648829431,0.10557432432432433,0.17314189189189189,0.09543918918918919,0.6106418918918919,0.5396959459459459,0.629222972972973,0.5512277730736664,0.4961896697713802,0.5715495342929721,0.5174171622769753,0.4927782497875956,0.5497026338147833,0.14493996569468268,0.17066895368782162,0.07289879931389365,0.5781786941580757,0.468213058419244,0.5962199312714777,0.5254091300602929,0.446167097329888,0.5581395348837209,0.4987057808455565,0.45297670405522,0.5539257981018119,0.08132260947274352,0.16890080428954424,0.040214477211796246,0.5805008944543828,0.39803220035778175,0.5635062611806798,0.525089605734767,0.40860215053763443,0.5770609318996416,0.49460431654676257,0.427158273381295,0.5503597122302158
